itemid,citation,creatorid,creator,title,birth_year,death_year,category,creation_date
92937,"Frankfurter, Al",3005,George Bellows ,Stag at Sharkey's,1882,1925,American - Painting,1909
92937,"""A Stag at Shar",3005,George Bellows ,Stag at Sharkey's,1882,1925,American - Painting,1909
92937,"""The Picture of",3005,George Bellows ,Stag at Sharkey's,1882,1925,American - Painting,1909
92937,"Pollak, Frances",3005,George Bellows ,Stag at Sharkey's,1882,1925,American - Painting,1909
92937,"Gardner, Helen.",3005,George Bellows ,Stag at Sharkey's,1882,1925,American - Painting,1909
92937,"Burroughs, Alan",3005,George Bellows ,Stag at Sharkey's,1882,1925,American - Painting,1909
92937,<em>Catalogue o,3005,George Bellows ,Stag at Sharkey's,1882,1925,American - Painting,1909
92937,<em>Catalogue o,3005,George Bellows ,Stag at Sharkey's,1882,1925,American - Painting,1909
92937,<em>Trois sièc,3005,George Bellows ,Stag at Sharkey's,1882,1925,American - Painting,1909
92937,"""Bellows (1882-",3005,George Bellows ,Stag at Sharkey's,1882,1925,American - Painting,1909
92937,<em>Life in Ame,3005,George Bellows ,Stag at Sharkey's,1882,1925,American - Painting,1909
92937,"Stites, Raymond",3005,George Bellows ,Stag at Sharkey's,1882,1925,American - Painting,1909
92937,<em>An Exhibiti,3005,George Bellows ,Stag at Sharkey's,1882,1925,American - Painting,1909
92937,"McB[ride], H[en",3005,George Bellows ,Stag at Sharkey's,1882,1925,American - Painting,1909
92937,"Francis, Henry ",3005,George Bellows ,Stag at Sharkey's,1882,1925,American - Painting,1909
92937,"Milliken, Willi",3005,George Bellows ,Stag at Sharkey's,1882,1925,American - Painting,1909
92937,"""Cleveland Offe",3005,George Bellows ,Stag at Sharkey's,1882,1925,American - Painting,1909
92937,"Boswell, Peyton",3005,George Bellows ,Stag at Sharkey's,1882,1925,American - Painting,1909
92937,"Walker, John, a",3005,George Bellows ,Stag at Sharkey's,1882,1925,American - Painting,1909
92937,"Boswell, Peyton",3005,George Bellows ,Stag at Sharkey's,1882,1925,American - Painting,1909
92937,<em>Sport in Am,3005,George Bellows ,Stag at Sharkey's,1882,1925,American - Painting,1909
92937,"Edgell, George ",3005,George Bellows ,Stag at Sharkey's,1882,1925,American - Painting,1909
