ID;ASESOR;CDUSUARIO;PERFIL;GÉNERO;TIPO DE FAMILIA;FECHA DE NACIMIENTO;EDAD;MOMENTO DE VIDA;NUMERO DE DEPENDIENTES;ESTADO;Valor deuda;Tiene o no tiene deudas;Rango deuda;Cotizacion;CIERRE;FECOTIZACION;AYV;INGRESOS_EMPLEADOS;INGRESOS_INDEPENDIENTE;TOTAL_INGRESOS;GRUPO VALOR;Empleados o Indenpendientes;FUMA;ALCOHOL;ACTIVIDAD_FISICA;TIEMPO_ACTIVIDAD;Cat_Act_Física;USA_MOTO;USA_AUTOMOVIL;USA_BICICLETA;USATRANS_PUBLICO;Movilidad;ALIMENTACION;ESTRES;PESO;ESTATURA;Cine;Cultura;Deporte;Lectura;Mascotas;Musica;Otros;Restaurantes;Tecnologia;Viajes;Total_general
42110;44526;44526;Asesor;M;Nuclear;28150;41,50410959;Adulto Joven 2;3;COTIZACION;150000;;< 1 SMLVM;1;0;8/03/2017;S;0;738000;738000;BAJO;Independiente;NO;1;SI;3;2;S;N;S;N;7;Saludable;2;70;170;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
42111;41826;41826;Asesor;M;Nuclear;29203;38,61917808;Adulto Joven 2;0;SOLICITUD;360000;;< 1 SMLVM;1;1;8/03/2017;S;1800000;0;1800000;MEDIO;Empleado;NO;0;NO;0;0;S;N;N;N;6;Normal;1;70;165;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
42112;14415;14415;Asesor;M;Solo;32373,95833;29,93162101;Adulto Joven 1;0;COTIZACION;0;No;No tiene;1;0;8/03/2017;S;0;0;0;NA;Independiente;NA;NA;NO;NA;NA;NA;NA;NA;NA;NA;NA;NA;;;SI;NO;NO;NO;SI;NO;NO;NO;NO;SI;3
42113;62545;62545;Asesor;M;Solo;29550;37,66849315;Adulto Joven 2;0;COTIZACION;1500000;;Entre 1 y 2 SMLVM;1;0;8/03/2017;S;2300000;0;2300000;MEDIO;Empleado;NO;1;SI;1;1;N;N;N;N;NA;Saludable;NA;;;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
42114;62545;62545;Asesor;M;Solo;29550;37,66849315;Adulto Joven 2;0;COTIZACION;1500000;;Entre 1 y 2 SMLVM;1;0;8/03/2017;S;2300000;0;2300000;MEDIO;Empleado;NO;0;NO;0;0;N;N;S;N;0;Normal;1;82;174;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
42115;62545;62545;Asesor;M;Solo;29550;37,66849315;Adulto Joven 2;0;COTIZACION;1500000;;Entre 1 y 2 SMLVM;1;0;8/03/2017;S;2300000;0;2300000;MEDIO;Empleado;NA;NA;NO;NA;NA;NA;NA;NA;NA;NA;NA;NA;;;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
42116;29764;29764;Asesor;F;Solo;35821;20,48767123;Joven;0;COTIZACION;0;No;No tiene;1;0;8/03/2017;S;700000;0;700000;BAJO;Empleado;NA;NA;NO;NA;NA;NA;NA;NA;NA;NA;NA;NA;;;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
42117;10915;10915;Asesor;F;Nuclear;30171,95833;35,96449772;Adulto Joven 2;2;COTIZACION;2000000;;Entre 2 y 5 SMLVM;1;0;8/03/2017;S;0;4000000;4000000;MEDIO;Independiente;SI;0;SI;NA;NA;S;N;N;N;6;Normal;1;75;165;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
42118;3764;3764;Asesor;M;Nuclear;30297,95833;35,61929224;Adulto Joven 2;2;SOLICITUD;3500000;;Entre 2 y 5 SMLVM;1;1;8/03/2017;S;10000000;0;10000000;ALTO;Empleado;NA;NA;NO;NA;NA;NA;NA;NA;NA;NA;NA;NA;;;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
42119;1111;RAFAVECO;Auxiliar;F;Nuclear;21765,95833;58,9946347;Adulto;1;COTIZACION;0;No;No tiene;1;0;8/03/2017;S;0;0;0;NA;Independiente;NO;0;NO;0;0;N;S;N;N;2;Normal;NA;;;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
4212;49405;49405;Asesor;M;Solo;33808,95833;26,00011416;Adulto Joven 1;0;COTIZACION;0;No;No tiene;1;0;8/06/2018;S;0;0;0;NA;Independiente;NO;2;SI;1,5;1;N;NA;NA;NA;NA;Normal;1;63;155;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
42120;29228;ALEJMOMN;Auxiliar;M;Monoparental;27103,95833;44,36997717;Adulto Joven 2;2;COTIZACION;0;No;No tiene;1;0;8/03/2017;S;2500000;0;2500000;MEDIO;Empleado;NA;NA;NO;NA;NA;NA;NA;NA;NA;NA;NA;NA;;;SI;NO;SI;NO;NO;NO;NO;SI;NO;NO;3
42121;5320;5320;Asesor;M;Nuclear;30530,95833;34,98093607;Adulto Joven 1;2;COTIZACION;0;No;No tiene;1;0;8/03/2017;S;0;4000000;4000000;MEDIO;Independiente;NA;NA;NO;NA;NA;NA;NA;NA;NA;NA;NA;NA;;;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
42122;29750;29750;Asesor;F;Solo;29150,95833;38,76175799;Adulto Joven 2;0;COTIZACION;500000;;< 1 SMLVM;1;0;8/03/2017;S;0;2500000;2500000;MEDIO;Independiente;NA;NA;NO;NA;NA;NA;NA;NA;NA;NA;NA;NA;;;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
42123;11480;ADRIALFO;Auxiliar;F;Pareja sin hijos;24382;51,82739726;Adulto;0;COTIZACION;0;No;No tiene;1;0;8/03/2017;S;0;800000;800000;BAJO;Independiente;NA;NA;NO;NA;NA;NA;NA;NA;NA;NA;NA;NA;;;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
42124;10035;CLAUGURO;Auxiliar;M;Nuclear;30443,95833;35,21929224;Adulto Joven 2;0;COTIZACION;0;No;No tiene;1;0;8/03/2017;S;0;0;0;NA;Independiente;NA;NA;NO;NA;NA;NA;NA;NA;NA;NA;NA;NA;;;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
42125;11076;11076;Asesor;F;Nuclear;28171,95833;41,44394977;Adulto Joven 2;3;COTIZACION;0;No;No tiene;1;0;8/03/2017;S;5000000;0;5000000;ALTO;Empleado;NA;NA;NO;NA;NA;NA;NA;NA;NA;NA;NA;NA;;;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
42126;17422;17422;Asesor;F;Monoparental;24882;50,45753425;Adulto;1;SOLICITUD;0;No;No tiene;1;1;8/03/2017;S;3400000;0;3400000;MEDIO;Empleado;NO;1;SI;2,5;2;N;S;N;N;2;Saludable;0;90;185;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
42127;9048;9048;Asesor;M;Nuclear;30473,95833;35,13710046;Adulto Joven 2;2;SOLICITUD;153000;;< 1 SMLVM;1;1;8/03/2017;S;4000000;0;4000000;MEDIO;Empleado;NA;NA;NO;NA;NA;NA;NA;NA;NA;NA;NA;NA;;;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
42128;21370;21370;Asesor;F;Solo;24084;52,64383562;Adulto;0;COTIZACION;400000;;< 1 SMLVM;1;0;8/03/2017;S;0;3000000;3000000;MEDIO;Independiente;NO;0;SI;4;3;N;S;N;N;2;Saludable;1;68;170;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
42129;3464;3464;Asesor;F;Pareja sin hijos;30365;35,43561644;Adulto Joven 2;0;SOLICITUD;2900000;;Entre 2 y 5 SMLVM;1;1;8/03/2017;S;8042000;0;8042000;ALTO;Empleado;NO;0;NO;0;0;N;N;N;S;14;Normal;1;65;155;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
